latitude,longitude,altitude,geometry,coordinates,@id,aerialway,building,network,operator,public_transport,source,wall,layer,aerialway:access,ele,name,aerialway:summer:access,internet_access,ele:local,area,aerialway:bubble,aerialway:capacity,aerialway:duration,aerialway:length,aerialway:occupancy,ref,oneway,aerialway:heating,comment,aerialway:chair_lift:occupancy,aerialway:gondola:occupancy,alt_name,covered,opening_hours,note,charge,playground,website,access,construction,maxspeed,proposed:aerialway,start_date
,,,Polygon,"6.5386136,45.3234817,6.538659,45.3234701,6.5387371,45.3234496,6.5387085,45.3233989,6.5388286,45.3233654,6.5388569,45.3234176,6.5389141,45.3234022,6.5389503,45.323473,6.5386513,45.3235528,6.5386136,45.3234817",way/181942829,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.538893,45.3223899,6.5391689,45.3225306,6.5391012,45.3225965,6.5388254,45.3224558,6.538893,45.3223899",way/181943698,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5428155,45.3122109,6.5428145,45.3122849,6.5427073,45.3122819,6.542463,45.3122773,6.5424565,45.3123745,6.542352,45.3123726,6.5423617,45.312199,6.542663,45.3122061,6.5428155,45.3122109",way/181944021,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.535851,45.3184744,6.5356659,45.3185823,6.5356053,45.3185309,6.5357905,45.318423,6.535851,45.3184744",way/181945013,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5357172,45.3193027,6.5353339,45.3191081,6.5353977,45.3190464,6.5355814,45.3191409,6.5357824,45.3192443,6.5357172,45.3193027",way/181945014,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5349676,45.3194356,6.5349246,45.3194546,6.5348366,45.3193576,6.5348756,45.3193376,6.5349676,45.3194356",way/181945344,station,yes,,SEVABEL,station,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5352766,45.3194036,6.5351176,45.3194016,6.5350026,45.3194316,6.5349706,45.3193496,6.5351236,45.3193156,6.5352786,45.3193186,6.5352766,45.3194036",way/181947191,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5197548,45.3113376,6.5195703,45.3112424,6.5195567,45.3112015,6.5196846,45.3110793,6.5196569,45.3110653,6.5196948,45.3110282,6.5197214,45.3110424,6.5198205,45.3109483,6.5200831,45.3110846,6.5201974,45.3111439,6.5202191,45.3111613,6.5202184,45.3111819,6.5201751,45.3112183,6.5201489,45.3112217,6.5199711,45.3111307,6.5197548,45.3113376",way/181948001,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.571148,45.3967962,6.5710864,45.3967284,6.5713224,45.3966456,6.5713734,45.3967171,6.571148,45.3967962",way/182890677,station,yes,,,station,,,,entry,1484,Adret,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5514359,45.3201098,6.551681,45.3200472,6.5517188,45.3201204,6.5514737,45.320183,6.5514359,45.3201098",way/233263641,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,,,,,,Télésiège des Ménuires,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.582129,45.2951069,6.5821931,45.2952169,6.5821126,45.2952401,6.5821501,45.2953199,6.5820427,45.2953588,6.5819863,45.2952712,6.5819406,45.2952742,6.5818901,45.2951651,6.5819153,45.295065,6.5820405,45.2950415,6.5820875,45.2951025,6.582129,45.2951069",way/250784923,station,yes,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5859154,45.3050495,6.5859614,45.3049702,6.5860824,45.3050037,6.5860323,45.3050851,6.5859154,45.3050495",way/250785122,station,yes,,SETAM,station,,,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5862802,45.3050031,6.5862838,45.3050271,6.5863844,45.3050232,6.5863957,45.3051555,6.5861349,45.3051687,6.5861348,45.3051288,6.586173,45.3051281,6.5861669,45.3050099,6.5862802,45.3050031",way/250785123,station,yes,,SETAM,station,,,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5783391,45.3191278,6.5783335,45.3190508,6.5785893,45.3190415,6.578595,45.3191185,6.5783391,45.3191278",way/331300264,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5783816,45.3182983,6.5784204,45.3182274,6.5788841,45.3183529,6.5788453,45.3184237,6.5783816,45.3182983",way/331300265,station,yes,Les Menuires & Saint-Martin-de-Belleville 3 Vallées,SEVABEL,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5622018,45.2950774,6.5621553,45.2950054,6.562249,45.2949747,6.562365,45.2948402,6.5624637,45.2948817,6.5623364,45.2950333,6.5622018,45.2950774",way/431571141,station,yes,,SETAM,station,,,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5645498,45.2939122,6.5647056,45.2939102,6.5650866,45.2942878,6.5650231,45.2943832,6.5648099,45.2943132,6.5647524,45.2944022,6.5646001,45.2943522,6.5645033,45.2943618,6.5644559,45.2943238,6.5643813,45.294264,6.5644152,45.2941972,6.5644141,45.2940803,6.5645524,45.2940777,6.5645498,45.2939122",way/654449478,station,yes,,SETAM,station,,,,both,,,both,wlan,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5614751,45.2951432,6.5613388,45.2949722,6.5614351,45.2949343,6.5615712,45.2951053,6.5614751,45.2951432",way/661002645,station,yes,,SETAM,station,,,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5700177,45.2955688,6.5700796,45.2954193,6.5701802,45.29544,6.5701182,45.2955894,6.5700177,45.2955688",way/661002646,station,yes,,SETAM,station,,,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5737318,45.286346,6.573786,45.2862131,6.5738292,45.2862216,6.5738383,45.2861926,6.5739648,45.2862259,6.5739528,45.2862259,6.5739256,45.2862393,6.5739035,45.2862937,6.5739448,45.2863019,6.5739323,45.286338,6.573888,45.2863282,6.5738684,45.2863742,6.5738259,45.2863654,6.5737758,45.2863551,6.5737318,45.286346",way/661002648,station,yes,,SETAM,station,,,,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
