latitude,longitude,altitude,geometry,coordinates,@id,piste:difficulty,piste:type,type,access,area,leisure,name,route,note,source,piste:grooming,website,fixme,lit,comment,piste:ref,bridge,layer,piste:name,piste:alt_name,highway,sac_scale,service,piste:old_name,tunnel,abandoned,material,old_name,piste:old_ref,trail_visibility,oneway,tracktype,piste:abandoned,closed,piste:patrolled,cycleway:right,description,lane_markings,surface,short_name,piste:oneway,oneway:track,lanes,railway,ele:local,bicycle,foot,sidewalk,FIXME,structure,@relations,sport
,,,Polygon,"6.5867182,45.250466,6.5869788,45.2505797,6.5869104,45.2506228,6.5868058,45.2506772,6.5867068,45.2509091,6.5867562,45.2512379,6.5868705,45.2514143,6.5869976,45.2514356,6.5871022,45.2514049,6.5873297,45.2513597,6.5875183,45.2514071,6.5877041,45.2514275,6.5877729,45.2514078,6.5877488,45.2513575,6.5877721,45.2512966,6.5879247,45.2513824,6.5879013,45.2514832,6.5877049,45.2515207,6.5874119,45.2515043,6.5870789,45.2515582,6.5867117,45.2518306,6.5866199,45.2518988,6.5865383,45.2519593,6.5862365,45.2519544,6.5859536,45.2519679,6.5855972,45.2518958,6.5851677,45.2517036,6.5849147,45.2513496,6.5840349,45.2504716,6.5843814,45.2503104,6.5846253,45.250275,6.5848778,45.2505965,6.5850034,45.2507223,6.5861084,45.2505387,6.5867182,45.250466,6.5863456,45.251829,6.5865147,45.2515641,6.586395,45.251421,6.5863963,45.2510676,6.5863284,45.2510104,6.5852385,45.2513954,6.5854839,45.2515633,6.5857855,45.2517203,6.5860573,45.2518051,6.5863456,45.251829",relation/336082,easy,downhill,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5792234,45.3430502,6.5795487,45.3430554,6.5800559,45.3429958,6.5791092,45.3455826,6.5808498,45.3454503,6.5808498,45.347696,6.5801582,45.3486312,6.5800882,45.3505384,6.5802351,45.3514012,6.5796749,45.3517446,6.5794108,45.3521008,6.5794861,45.3528957,6.5798443,45.3536908,6.580186,45.3545763,6.5803881,45.3552407,6.5803904,45.3557518,6.5804797,45.3566483,6.5804231,45.3574462,6.579895,45.3573235,6.5800182,45.3570124,6.5799297,45.3563703,6.5799166,45.3556164,6.5797756,45.3550525,6.5791921,45.3539189,6.5779035,45.3517415,6.577187,45.3503111,6.5768886,45.3494297,6.5770289,45.3490816,6.5771168,45.3488635,6.577282,45.3486333,6.5774549,45.3483926,6.5779637,45.3474519,6.5779035,45.3470162,6.5779174,45.3467156,6.5780366,45.3453367,6.5779843,45.3451132,6.5780502,45.3449595,6.5781697,45.3446969,6.5783741,45.3444609,6.5792234,45.3430502,6.5792668,45.3517361,6.5796725,45.3513548,6.5795744,45.3504049,6.5792388,45.3514274,6.5792668,45.3517361,6.5797358,45.3480601,6.5801998,45.3479678,6.5804887,45.3455314,6.5797238,45.3456165,6.5797358,45.3480601,6.5788261,45.352071,6.5788335,45.3515631,6.5788043,45.3512055,6.5789719,45.3504809,6.5792078,45.3500122,6.5794113,45.3475764,6.5794166,45.3467295,6.5792605,45.345898,6.5790789,45.3457949,6.5789569,45.3457883,6.5785802,45.3457685,6.5785864,45.345953,6.5785842,45.3464939,6.5785776,45.3475264,6.5784869,45.347873,6.5780247,45.3487333,6.5777571,45.3496111,6.5781512,45.3508211,6.5788261,45.352071",relation/338272,easy,downhill,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.55027,45.3228502,6.5487869,45.3225696,6.5447163,45.3230269,6.5445009,45.3230511,6.5442641,45.3230777,6.5434094,45.3231737,6.5418283,45.3233492,6.5416025,45.3232736,6.5413337,45.3232358,6.5413014,45.3231526,6.5414089,45.3230619,6.5433084,45.3223095,6.5485208,45.3209354,6.5494661,45.3210763,6.5509084,45.3213817,6.5513468,45.3224107,6.5515634,45.3233428,6.5521295,45.3243385,6.5528646,45.3252564,6.5529892,45.3254516,6.5530623,45.3255848,6.5529813,45.3257458,6.5527455,45.3257634,6.5511088,45.3234777,6.55027,45.3228502,6.5502579,45.3224134,6.550612,45.3222571,6.5506882,45.3220819,6.5504386,45.3218967,6.5493711,45.3217017,6.5484283,45.321692,6.5463348,45.3221014,6.544726,45.3226164,6.5464739,45.3223124,6.5487224,45.3222746,6.5496154,45.3223427,6.5502579,45.3224134",relation/1461512,,downhill,multipolygon,restricted,yes,stadium,Stade de Slalom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MultiLineString,"6.5286554,45.334237,6.5288317,45.3340698,6.5289195,45.333875,6.5042914,45.3759451,6.5041917,45.3759468,6.5041347,45.3759253,6.5041027,45.3758989,6.5040999,45.3758539,6.5040846,45.3756555,6.5040581,45.3755187,6.5039886,45.37542,6.5038717,45.3753145,6.5037493,45.3751826,6.503709,45.3750917,6.5036895,45.3749608,6.5037076,45.3748425,6.5037604,45.3746989,6.5038175,45.3745875,6.5038912,45.3744878,6.503926,45.3744243,6.5039483,45.3743177,6.5039455,45.3739005,6.5039713,45.3737295,6.5040236,45.3735995,6.5041061,45.3733013,6.504261,45.3729862,6.5043263,45.3728705,6.5044173,45.3728045,6.5046022,45.3727106,6.5047416,45.3725637,6.5049095,45.3724588,6.5051811,45.3722899,6.5052764,45.372202,6.5054201,45.3720691,6.5055766,45.3720031,6.5058468,45.3719072,6.5060417,45.3718543,6.5061527,45.3717733,6.5062181,45.3716684,6.5062949,45.3715395,6.5064371,45.3713596,6.5065225,45.3711588,6.5065452,45.3710389,6.5065367,45.370838,6.5065779,45.3707512,6.5066186,45.3706889,6.506687,45.3706256,6.5072629,45.3703221,6.5073851,45.3702465,6.5075131,45.3701515,6.5076076,45.3700186,6.5076759,45.3698603,6.5077443,45.3697438,6.5079735,45.3695078,6.5081144,45.369369,6.5081748,45.3693232,6.5082432,45.3692897,6.5084053,45.3692354,6.5085361,45.3691717,6.5087012,45.3690474,6.5089347,45.3688635,6.509131,45.3687935,6.5095637,45.3686013,6.5096291,45.3685543,6.5096678,45.3684811,6.5096975,45.3683422,6.5097407,45.3682753,6.5099117,45.3680925,6.510077,45.3678793,6.5101136,45.3678234,6.51012,45.367757,6.510085,45.3676553,6.5100917,45.3676251,6.5101317,45.3675783,6.5101702,45.3675615,6.5102202,45.3675431,6.5102856,45.3675032,6.5103415,45.3674412,6.5107307,45.3671104,6.5109335,45.3669772,6.511137,45.3666796,6.5115876,45.3660992,6.5121241,45.3655489,6.512403,45.365059,6.5128107,45.3647198,6.5131326,45.3646369,6.5133042,45.3646293,6.513669,45.3646745,6.5138514,45.364569,6.5142017,45.3641081,6.5144308,45.3639584,6.5146952,45.3639196,6.5152916,45.363916,6.5153818,45.3637529,6.5157067,45.3633707,6.5158124,45.3631859,6.5159751,45.3627317,6.5162607,45.3620467,6.5163606,45.3617625,6.5165382,45.3615018,6.5167713,45.3612177,6.517144,45.3608544,6.51732,45.3606951,6.5175468,45.3605212,6.5179607,45.3602271,6.5183286,45.3599073,6.5187869,45.3594348,6.5191183,45.3591206,6.519242,45.3589434,6.5193546,45.3587072,6.5195929,45.358149,6.5190814,45.3580392,6.5184968,45.3578837,6.5184652,45.3578648,6.5184319,45.3578324,6.5184704,45.3577482,6.5186572,45.3575557,6.5188561,45.3572419,6.5188967,45.3571378,6.5188642,45.3570622,6.5187242,45.3569909,6.5185943,45.3568839,6.5185252,45.3567156,6.5184035,45.3565274,6.5181883,45.3561836,6.5180645,45.3557657,6.5178717,45.3554948,6.5175672,45.3550098,6.5174698,45.3548843,6.5174759,45.3547916,6.5177276,45.354726,6.5182066,45.3545605,6.5185273,45.3544222,6.5190164,45.354174,6.5191423,45.3540685,6.519327,45.3538445,6.519463,45.3535878,6.5195949,45.3534337,6.5197755,45.3529588,6.5197431,45.3528874,6.5196741,45.3528618,6.5193168,45.3530957,6.5190368,45.3533092,6.5188789,45.3533757,6.5187038,45.353402,6.5186406,45.3533777,6.5185832,45.3532527,6.5186177,45.3530752,6.5187267,45.352932,6.5190253,45.3524317,6.519031,45.3523228,6.518965,45.3522542,6.5188042,45.3522179,6.5184828,45.3522703,6.5181498,45.3524055,6.517969,45.3525305,6.5178685,45.3528452,6.5178139,45.3529199,6.5177221,45.3529945,6.5176245,45.3529844,6.5175814,45.3529279,6.5176159,45.3527726,6.5176561,45.3525326,6.5176227,45.3523132,6.5176073,45.3522118,6.5176245,45.351996,6.5176762,45.3519133,6.5179804,45.3517902,6.518258,45.3515801,6.5184015,45.3514308,6.5184704,45.3512049,6.5187288,45.3507853,6.5187718,45.350281,6.5186656,45.3499946,6.5184963,45.3497585,6.5185049,45.3496617,6.5186599,45.3494217,6.5189182,45.3489032,6.519234,45.348534,6.5194196,45.3484354,6.5198803,45.3482685,6.5200488,45.348133,6.5201625,45.3480545,6.5206009,45.347909,6.5210007,45.3477521,6.5211814,45.3476337,6.5213945,45.3473998,6.521498,45.3473142,6.5216645,45.3471687,6.5217964,45.3469404,6.5220724,45.346678,6.5221394,45.3464483,6.5223221,45.3461045,6.5224865,45.3455353,6.5223241,45.3450546,6.5222125,45.3447122,6.5221901,45.344434,6.522247,45.3439718,6.5222957,45.3437921,6.5226204,45.3434725,6.5231195,45.3427663,6.523763,45.3420858,6.523905,45.3419474,6.5239213,45.3416578,6.5241243,45.3414139,6.5241608,45.3410643,6.5242866,45.340759,6.5244043,45.3404908,6.5245261,45.3402568,6.5245464,45.3399815,6.5244835,45.3395849,6.5244226,45.3392995,6.5244449,45.3391968,6.5245606,45.3391298,6.5248549,45.3391249,6.525334,45.3391683,6.5256283,45.3391697,6.5257432,45.339214,6.5259245,45.3392076,6.5261491,45.3391359,6.5262562,45.3390569,6.5263728,45.3388389,6.526551,45.3385588,6.5266561,45.3383291,6.5267509,45.3381246,6.5267675,45.3379714,6.526765,45.3378372,6.5268278,45.3376967,6.5269072,45.3375967,6.5269431,45.3375102,6.526947,45.3370923,6.5269662,45.3369941,6.5270238,45.336822,6.5270379,45.3367292,6.5269982,45.3365383,6.5269316,45.3363212,6.5268624,45.3360851,6.5268444,45.3359176,6.5269072,45.3359185,6.5270277,45.3359185,6.5271033,45.3359203,6.5270995,45.3358293,6.5270907,45.3355841,6.527156,45.3354782,6.5272677,45.3354014,6.5273883,45.3353264,6.527608,45.3352002,6.5276871,45.3351499,6.5278014,45.3350695,6.528055,45.3349513,6.5282634,45.3348868,6.5284292,45.3348153,6.5284797,45.3347502,6.5285105,45.3346493,6.5284811,45.3345243,6.5284926,45.3344469,6.5285401,45.3343424,6.5285875,45.3342676,6.5286554,45.334237,6.5288194,45.3342487,6.5289258,45.3342667,6.5290181,45.3342352,6.5290539,45.3341739,6.5290245,45.3340937,6.5289465,45.3339383,6.5289195,45.333875,6.5288596,45.3337345,6.5286823,45.3335868,6.528623,45.3335053,6.5286073,45.3333352,6.5286622,45.3331366,6.5287119,45.3329573,6.5287551,45.3327192,6.5287946,45.33236,6.5287704,45.3320812,6.5286514,45.3318127,6.5286815,45.331673,6.5287233,45.3316215,6.5287207,45.3314771,6.5287501,45.3312312,6.5287661,45.3310576,6.5288235,45.3308249,6.5289637,45.3306127,6.5291372,45.3304738,6.529248,45.3303331,6.5292547,45.330105,6.529244,45.3299276,6.5292347,45.3297868,6.529264,45.3296629,6.5293281,45.329509,6.529459,45.3293044,6.529531,45.3291505,6.5295684,45.3289618,6.5296472,45.3288539,6.529754,45.3287713,6.5298648,45.3286577,6.5298768,45.328639,6.5298955,45.3286099,6.5298995,45.3285048,6.5298701,45.3284034,6.5298101,45.328226,6.5298568,45.3280477,6.5299169,45.327875,6.5299283,45.3277364,6.5299373,45.3276286,6.5299662,45.3275378,6.5300587,45.3274348,6.5301627,45.3273156,6.5303747,45.3270975,6.5304715,45.3269763,6.5305057,45.3269335,6.5305558,45.3268238,6.5306426,45.3266653,6.5307659,45.3265406,6.5308295,45.3264729,6.5308661,45.326397,6.5308741,45.3262646,6.5309095,45.3261858,6.5309732,45.3260241,6.5311073,45.3258657,6.5312146,45.3256432,6.5312092,45.3254584,6.5312843,45.3252698,6.5316813,45.3248285,6.5321856,45.3244099,6.5323304,45.3241232,6.532384,45.323912,6.532427,45.3238667,6.5324913,45.3238592,6.5325289,45.3239195,6.532486,45.3241421,6.5323733,45.3244513,6.5319978,45.3249794,6.5319763,45.3250586,6.5320032,45.3250887,6.5320568,45.3251114,6.5321265,45.3250699,6.5322607,45.3249115,6.5326952,45.3245041,6.5327703,45.3243344,6.532899,45.3239874,6.5329098,45.3237272,6.5330653,45.3232444,6.5331994,45.3229841,6.5336018,45.3225843,6.5336983,45.3224033,6.5337359,45.3219884,6.5338432,45.3217696,6.5339183,45.3217206,6.5339987,45.3217658,6.5339987,45.32183,6.5339451,45.3220487,6.5339934,45.3223052,6.5339129,45.323135,6.5339183,45.3232368,6.5339719,45.3232557,6.5340416,45.3231388,6.5342187,45.3224335,6.5344601,45.3219582,6.534621,45.3215773,6.5347122,45.3214641,6.5348892,45.3213773,6.5349908,45.321342,6.5350868,45.3213395,6.5351056,45.3210732,6.53517,45.3207281,6.5352799,45.3203792,6.5353979,45.3202095,6.5355777,45.3200378,6.5357114,45.3199498",relation/10479461,easy,hike,route,,,,Les menuires - St-Martin-de-Belleville,ski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"6.5382808,45.3119094,6.5382144,45.3118006,6.5380964,45.3115252,6.5380401,45.3113649,6.5379421,45.3111679,6.5378683,45.3109754,6.5378389,45.3108835,6.5378349,45.3108213,6.5378469,45.3107462,6.5378711,45.3106963,6.5379099,45.3106628,6.5379864,45.3106199,6.53815,45.3105425,6.538512,45.3103468,6.5387957,45.3101841,6.5392603,45.3099035,6.5394113,45.309798,6.5394809,45.3097352,6.5396541,45.3095419,6.5397304,45.3094631,6.5397654,45.3093967,6.5397828,45.3093118,6.53978,45.3092372,6.5398015,45.3091509,6.5398774,45.30891,6.5398881,45.308819,6.5398826,45.3087477,6.5397345,45.3084115,6.5396989,45.3082804,6.5397136,45.3080242,6.5397479,45.3078258,6.5397592,45.3076645,6.5398632,45.3072391,6.5398713,45.3071424,6.5398653,45.3070802,6.5398351,45.3070014,6.5398042,45.3069169,6.5397915,45.3068463,6.5397895,45.3067892,6.5398149,45.3067109,6.5399095,45.3065525,6.5400113,45.3063444,6.5400329,45.3062473,6.5400423,45.3061379,6.5400295,45.3059242,6.5400074,45.3057885,6.5399759,45.3057238,6.5399235,45.3056281,6.5396915,45.3053394,6.5396338,45.3052309,6.5396172,45.3051881,6.5396098,45.3051258,6.5396279,45.3050287,6.5396662,45.3048768,6.5397003,45.3047981,6.5396869,45.3047301,6.5396065,45.3046169,6.5394992,45.3044623,6.5393999,45.3043576,6.5393127,45.3042632,6.5392591,45.3041378,6.5392511,45.3040246,6.5392618,45.3039369,6.5392832,45.3038586,6.5392739,45.3037576,6.539302,45.3036661,6.539353,45.3035614,6.5393825,45.3035256,6.5394388,45.3034313,6.5395233,45.303336,6.5396051,45.3032615,6.5396909,45.3032011,6.5397848,45.3031153,6.5398036,45.3030653,6.5398076,45.3030143,6.5398096,45.3029667,6.5398331,45.3029238,6.5398693,45.3028757,6.5399357,45.3028521,6.5400209,45.30283,6.5400879,45.3028276,6.5401429,45.302837,6.5401664,45.3028521,6.5401858,45.3028564,6.5401972,45.3028356,6.5402327,45.30282,6.5403011,45.3028068,6.5404298,45.3027965,6.5405305,45.3027927,6.5406337,45.3027946,6.5406968,45.3028059,6.5407906,45.3027766,6.5409502,45.3027804,6.5411635,45.3027842,6.5413593,45.3027766,6.5415604,45.3027682,6.5417723,45.3027502,6.5419038,45.3027323,6.5420164,45.3027285,6.54218,45.3027021,6.5423182,45.3027021,6.5423806,45.3026932,6.5424375,45.302663,6.5425354,45.3025852,6.5425616,45.3025549,6.5426266,45.3025007,6.5426608,45.3024621,6.5426487,45.3024333,6.5425797,45.302413,6.5423678,45.3023521,6.5422189,45.3023045,6.5421304,45.3022654,6.5420245,45.302231,6.5419219,45.3022093,6.5417824,45.3021984,6.5415209,45.3021928,6.5413445,45.3021659,6.5412172,45.3021508,6.5411172,45.3021409,6.5410589,45.3021286,6.5410394,45.3021116,6.541026,45.3020899,6.5409978,45.3020597,6.540959,45.3020395,6.5409207,45.3020206,6.5408939,45.3019805,6.5408845,45.3019536,6.5408892,45.3019032,6.5409073,45.3018641,6.5409482,45.301822,6.5410046,45.3017942,6.5410441,45.3017753,6.5410683,45.3017485,6.5410776,45.3017136,6.5410743,45.3016805,6.5410602,45.3016504,6.5410233,45.3016371",relation/10479893,easy,hike,route,,,,Lac du Lou,ski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.570072,45.390865,6.5701622,45.3914509,6.5700602,45.3919444,6.5699369,45.3922929,6.5698779,45.3926809,6.5698135,45.3931669,6.5698242,45.3936133,6.5698484,45.3939297,6.5697679,45.3943252,6.5697142,45.3944778,6.5697089,45.3947754,6.5697464,45.3949148,6.5698296,45.3950918,6.5700173,45.3952086,6.5702507,45.3957379,6.5702534,45.3961409,6.5703177,45.3963707,6.5705055,45.3966381,6.5707201,45.3968058,6.5709507,45.3968905,6.5710312,45.3969395,6.5710208,45.3970519,6.5707737,45.3971335,6.5705189,45.397077,6.5703955,45.396932,6.5701997,45.3966833,6.5700442,45.396333,6.5699074,45.3959714,6.5699369,45.3957284,6.5698028,45.3953875,6.5696391,45.3951483,6.5695748,45.3948922,6.5695372,45.3945117,6.5695909,45.3941708,6.569556,45.3938826,6.5694648,45.3936641,6.5693334,45.3934664,6.5692663,45.3930802,6.5691483,45.3924624,6.5690383,45.3921328,6.5689337,45.3919934,6.5686977,45.3918898,6.5683168,45.3917693,6.5682095,45.3916431,6.5681317,45.3914585,6.5682176,45.391246,6.5682168,45.3912036,6.5682314,45.3910985,6.5683195,45.3908915,6.5684268,45.3907841,6.5686101,45.3906321,6.5687279,45.3908051,6.5688843,45.3908154,6.5691496,45.3906985,6.569438,45.3906372,6.5697499,45.3906815,6.570072,45.390865,6.5695801,45.3934023,6.5696794,45.3930407,6.5696874,45.3927299,6.5697196,45.3923551,6.5697598,45.3921648,6.5696499,45.3920951,6.5692851,45.3920612,6.5693548,45.392195,6.5693817,45.3925095,6.5694192,45.3928335,6.5694782,45.3932177,6.5695158,45.3934211,6.5695694,45.3935097,6.5695801,45.3934023",relation/13572372,easy,downhill,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5307853,45.3202675,6.5307246,45.3203286,6.5302674,45.3207889,6.5298072,45.3211301,6.5297386,45.321522,6.5296942,45.321789,6.5304135,45.321758,6.5310778,45.3216418,6.5321086,45.3209964,6.5327094,45.3205294,6.5335942,45.3197697,6.5343907,45.3191417,6.5350165,45.3189883,6.53508,45.3190529,6.5348423,45.319152,6.5344624,45.3193104,6.5334205,45.3200526,6.5325193,45.3208879,6.5311605,45.3217813,6.5294792,45.3219732,6.5291264,45.3220817,6.5287157,45.3224383,6.5280724,45.3231053,6.5275646,45.3231524,6.5272505,45.3231437,6.5269514,45.3230572,6.5268049,45.3228542,6.5268323,45.3227151,6.5271419,45.3224247,6.5278944,45.3219499,6.528283,45.3215119,6.5286385,45.3211592,6.5292394,45.3208491,6.5297217,45.3206767,6.5300084,45.3206612,6.5296225,45.3204712,6.5291295,45.3202203,6.5298653,45.3198428,6.5302131,45.3198196,6.5302543,45.3200982,6.5305151,45.3202559,6.5307853,45.3202675,6.5292294,45.321806,6.5289396,45.321319,6.5279254,45.3222061,6.5273741,45.322554,6.5284131,45.322549,6.529028,45.3219775,6.5292294,45.321806",relation/13756661,easy,downhill,multipolygon,,yes,,Chemin des Vallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.589188,45.3054731,6.5890737,45.305837,6.5888466,45.3060124,6.5884737,45.3060779,6.5879836,45.306026,6.5877267,45.3059049,6.5874423,45.3057437,6.5872401,45.3056883,6.5860851,45.3058164,6.5858576,45.3056839,6.58559,45.3055632,6.585403,45.3054127,6.5849427,45.3050584,6.5843851,45.3044335,6.5838217,45.303914,6.5833537,45.3034223,6.5827884,45.3028949,6.5822894,45.3024492,6.5815983,45.3018766,6.5808685,45.3013531,6.5808195,45.3012107,6.5808656,45.301047,6.58118,45.3005452,6.5816623,45.3001078,6.5827202,45.2998901,6.5831532,45.2996692,6.5834157,45.2995285,6.5837002,45.2996391,6.5838123,45.2996556,6.5838674,45.2996987,6.5838943,45.2997561,6.5838786,45.2998321,6.5838446,45.2999069,6.5837221,45.3000546,6.5835367,45.3000893,6.583202,45.3001295,6.5829067,45.3002474,6.5826424,45.300388,6.5825542,45.3006545,6.5827066,45.3009781,6.5827904,45.3017609,6.5831063,45.3023138,6.5839871,45.3030439,6.5846518,45.303344,6.5857128,45.3034985,6.5865619,45.3036903,6.5873912,45.3039527,6.5882008,45.3042686,6.5887447,45.304562,6.5890859,45.3049528,6.5891091,45.3049794,6.589188,45.3054731",way/22868638,easy,downhill,,,yes,,Plein Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.6089259,45.2881808,6.6081882,45.2880417,6.6077861,45.2880143,6.6074334,45.2880001,6.6071191,45.287943,6.6067336,45.2878533,6.6060611,45.2875526,6.6055692,45.287326,6.6049127,45.2871276,6.6038094,45.2871538,6.6031246,45.2870936,6.6026507,45.2870214,6.6021639,45.2869656,6.6018646,45.2869237,6.6014998,45.2870008,6.6008765,45.2872381,6.6003246,45.2874925,6.5998965,45.2876065,6.5996242,45.2877078,6.5988279,45.2881464,6.5985844,45.2882911,6.5982421,45.2884075,6.5976896,45.2885222,6.5972666,45.2885545,6.5968988,45.2885397,6.5966056,45.2884524,6.5961794,45.2883869,6.5958841,45.2883742,6.5955583,45.288433,6.595178,45.2885418,6.5949471,45.2886078,6.5948123,45.2886424,6.5944664,45.2886239,6.594257,45.2885278,6.5939781,45.288475,6.5935985,45.2885654,6.5934144,45.2885732,6.5932524,45.2885591,6.5929408,45.2884225,6.592653,45.2881988,6.5923595,45.2879685,6.5918944,45.2877205,6.5915502,45.2873834,6.5914274,45.2872931,6.5913046,45.2872813,6.5912209,45.2873167,6.5911316,45.2874227,6.5911316,45.2876073,6.5912321,45.2882709,6.5912712,45.2889462,6.5911986,45.2892368,6.5910088,45.2894999,6.5907551,45.2896387,6.5904388,45.2892856,6.5906566,45.2892912,6.5908817,45.2892547,6.5909423,45.2891207,6.5910342,45.2888559,6.5910512,45.2883752,6.5909698,45.2874895,6.5909977,45.2873363,6.5910646,45.2872067,6.5912377,45.2871439,6.5915,45.2871439,6.5916172,45.287246,6.5918516,45.2874777,6.5923236,45.2877254,6.5926386,45.2879528,6.593152,45.288318,6.5933195,45.2884201,6.5935092,45.2884436,6.5938274,45.2883612,6.5940562,45.2883258,6.5944804,45.2884201,6.5946813,45.288479,6.5950162,45.2884476,6.5954738,45.2881177,6.5957808,45.2879646,6.5962161,45.2879332,6.5966068,45.2880706,6.5969138,45.2882552,6.5973212,45.288369,6.5976896,45.2883572,6.5980189,45.2882826,6.5985189,45.2879535,6.5991537,45.2875137,6.5996709,45.2873636,6.6001754,45.2872701,6.6005584,45.2871989,6.6009156,45.2870261,6.6013676,45.286818,6.6019258,45.2867159,6.6024281,45.2867041,6.6028634,45.2867591,6.6034271,45.2868612,6.6045713,45.2868651,6.6051254,45.2868824,6.6056261,45.2869908,6.6061285,45.2872342,6.6068149,45.2876544,6.6073117,45.2878232,6.6074969,45.2877977,6.6078731,45.2877344,6.608068,45.2877953,6.6082493,45.2877997,6.6084977,45.287943,6.6087544,45.2880777,6.6089259,45.2881808",way/22868641,easy,downhill,,,yes,,Tête Ronde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5777115,45.2952103,6.5781445,45.2951606,6.5792953,45.2949055,6.5804263,45.2945623,6.5808736,45.2941805,6.5809595,45.2939731,6.5810132,45.2936152,6.5814648,45.2925576,6.5822547,45.2899808,6.5823819,45.2895956,6.5825071,45.2889659,6.5825628,45.2881362,6.5827117,45.2872754,6.5827151,45.2865377,6.5823863,45.285708,6.5818623,45.2851967,6.5813964,45.2848967,6.5810042,45.2847452,6.5805047,45.284537,6.581413,45.2843414,6.582238,45.2844062,6.5827384,45.2844944,6.5828672,45.2845285,6.583074,45.284674,6.5832441,45.2847606,6.5834017,45.284799,6.5835864,45.2848542,6.5841292,45.2849322,6.5843542,45.2851679,6.5847535,45.2857517,6.5847466,45.2861853,6.5847133,45.286662,6.5843016,45.2878874,6.5835839,45.2892586,6.5830858,45.2903469,6.5825496,45.2917318,6.5828631,45.2914356,6.5833733,45.2913596,6.5834037,45.2915366,6.58342,45.2916715,6.5824009,45.2921351,6.5821553,45.2926612,6.5821714,45.2930919,6.5822649,45.2935064,6.5828696,45.293655,6.583402,45.293813,6.5838691,45.2940021,6.5846122,45.2938956,6.5856237,45.2936079,6.5862493,45.2934736,6.5866247,45.2934058,6.5871827,45.2933181,6.5872597,45.2933277,6.5876726,45.2933794,6.5877469,45.2933926,6.5880807,45.2934517,6.5883982,45.293612,6.5883503,45.29398,6.5876132,45.293821,6.5868754,45.2938341,6.5861984,45.2940374,6.5850208,45.2941967,6.5845589,45.2942466,6.5842057,45.2942614,6.5834789,45.2942068,6.5830022,45.2941656,6.5824457,45.2940443,6.5821488,45.2941129,6.5821384,45.2941825,6.5821172,45.2943238,6.5821062,45.2943974,6.5823348,45.2944963,6.5822788,45.2948678,6.582347,45.295285,6.5821687,45.2951662,6.5819574,45.2951966,6.5819406,45.2952742,6.5819024,45.2954509,6.5817266,45.2957787,6.5811406,45.2956629,6.5811797,45.2954843,6.5812104,45.2953606,6.5810404,45.2952744,6.5801906,45.2954155,6.5792,45.2956039,6.5782543,45.2957855,6.5778114,45.2958623,6.576247,45.2960586,6.5755335,45.2961199,6.5743549,45.2962081,6.5737639,45.2961158,6.5730662,45.2959401,6.5721268,45.2957816,6.5716631,45.2957009,6.5706095,45.2957448,6.5704634,45.2957079,6.5704507,45.2956742,6.5709692,45.2953853,6.5714258,45.2950214,6.5715701,45.2950671,6.5716639,45.2952569,6.5720041,45.2953374,6.5721729,45.2952406,6.5720861,45.2951937,6.5720912,45.2951609,6.5719943,45.2951115,6.5722166,45.2950781,6.5731964,45.2954355,6.574209,45.295593,6.5743254,45.295611,6.5744428,45.2956315,6.5757616,45.2958614,6.5755829,45.2956387,6.5755829,45.2954467,6.5756553,45.295313,6.5772391,45.2952553,6.577382,45.295229,6.5777115,45.2952103",way/22868803,novice,downhill,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
